python_startIndex,python_endIndex,Url,maxPage,Category,SubCategory,SubSubCategory
0,1,https://www.walmart.com/browse/1005862_1007220_133146?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Electric Shavers,
1,2,https://www.walmart.com/browse/1005862_1007220_1044019?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Shaver Replacement Heads,
2,3,https://www.walmart.com/browse/1005862_1007220_641039?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Trimmers & Clippers,
3,4,https://www.walmart.com/browse/1005862_1007220_9287106?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Razors,
4,5,https://www.walmart.com/browse/1005862_1007220_3392907?page=,0,Beauty-Men's Grooming,Shaving & Grooming,Razor Cartidges,
5,6,https://www.walmart.com/browse/1005862_1007220_9312881?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Shaving Cream & Gels,
6,7,https://www.walmart.com/browse/beard-care/0/0/?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Beard Care,
7,8,https://www.walmart.com/browse/1005862_1007220_3096153?page=,25,Beauty-Men's Grooming,Shaving & Grooming,Aftershave,
8,9,https://www.walmart.com/browse/1005862_1056884_8219670?page=,24,Beauty-Men's Grooming,Hair Care & Styling,All Men's Hair Care,
9,10,https://www.walmart.com/browse/www.walmart.com/browse/personal-care/men-s-shampoo-and-conditioner/1005862_1056884_8035912?page=,25,Beauty-Men's Grooming,Hair Care & Styling,Shampoo & Conditioner,
10,11,https://www.walmart.com/browse/1085666_3147628_5752434_4339403?page=,25,Beauty-Men's Grooming,Hair Care & Styling,Dandruff,
11,12,https://www.walmart.com/browse/beauty/mens-hair-regrowth/1085666_3147628_9545402_4922801?page=,23,Beauty-Men's Grooming,Hair Care & Styling,Hair Regrowth,
12,13,https://www.walmart.com/browse/personal-care/styling-products/male/1005862_1007219_1007019/Z2VuZGVyOk1hbGUie?page=,0,Beauty-Men's Grooming,Hair Care & Styling,Gels, Pomades & Wax,
13,14,https://www.walmart.com/browse/personal-care/styling-products/male/1005862_1007219_1007019/Z2VuZGVyOk1hbGUie?page=,0,Beauty-Men's Grooming,Hair Care & Styling,Beard & Mustache Color,
14,15,https://www.walmart.com/browse/beauty/hair-cutting-tools/1085666_3147628_3847754_3049406?page=,25,Beauty-Men's Grooming,Hair Care & Styling,Hair Clippers,
15,16,https://www.walmart.com/browse/oral-care/electric-toothbrushes/1005862_1007221_4710?page=,0,Beauty-Men's Grooming,Oral Hygiene,Electric Toothbrushes,
16,17,https://www.walmart.com/browse/oral-care/teeth-whitening/1005862_1007221_1044034?page=,25,Beauty-Men's Grooming,Oral Hygiene,Oral Whitening,
17,18,https://www.walmart.com/browse/oral-care/water-flossers-sanitizers/1005862_1007221_1024682?page=,25,Beauty-Men's Grooming,Oral Hygiene,Water Flossers,
18,19,https://www.walmart.com/browse/oral-care/toothpaste/1005862_1007221_1023020?page=,25,Beauty-Men's Grooming,Oral Hygiene,Toothpaste,
19,20,https://www.walmart.com/browse/oral-care/oral-rinse-mouthwash/1005862_1007221_1007360?page=,25,Beauty-Men's Grooming,Oral Hygiene,Oral Rinse & Mouthwash,
20,21,https://www.walmart.com/browse/personal-care/deodorants-antiperspirants/male/1005862_1001487/Z2VuZGVyOk1hbGUie?page=,25,Beauty-Men's Grooming,Bath & Body,Deodorants,
21,22,https://www.walmart.com/browse/personal-care/mens-body-lotions/1005862_1056884_1564603?page=,25,Beauty-Men's Grooming,Bath & Body,Body Lotions,
22,23,https://www.walmart.com/browse/personal-care/men-s-body-wash/1005862_1071969_2531574?page=,20,Beauty-Men's Grooming,Bath & Body,Body Washes,
23,24,https://www.walmart.com/browse/bath-body/bar-soap/1005862_1071969_4735846?page=,25,Beauty-Men's Grooming,Bath & Body,Bar Soaps,
24,25,https://www.walmart.com/browse/travel-size-toiletries-kits/1005862_2802339?page=,4,Beauty-Men's Grooming,Bath & Body,Travel Sizes & Sets,
25,26,https://www.walmart.com/browse/beauty/cologne/1085666_133225_6873232_8194846?page=,25,Beauty-Men's Grooming,Cologne & Fragrances,Shop All Cologne & Fragrance,
