python_startIndex,python_endIndex,Url,maxPage,Category,SubCategory,SubSubCategory
0,1,https://www.walmart.com/browse/beauty/perfume-for-women/1085666_133225_4659649?page=,25,Beauty-Perfume,Women,Perfume,
1,2,https://www.walmart.com/browse/beauty/body-hair-mists/1085666_133225_4659649_3823478?page=,25,Beauty-Perfume,Women,Body Mists & Hair Mists,
2,3,https://www.walmart.com/browse/beauty/perfume-gift-sets/1085666_133225_4659649_3262115?page=,25,Beauty-Perfume,Women,Perfume Gift Sets,
3,4,https://www.walmart.com/browse/beauty/perfume-mini-sizes/1085666_133225_4659649_9624197?page=,2,Beauty-Perfume,Women,Perfume Mini Sizes,
4,5,https://www.walmart.com/browse/beauty/cologne/1085666_133225_6873232_8194846?page=,25,Beauty-Perfume,Men,Cologne,
5,6,https://www.walmart.com/browse/beauty/body-spray/1085666_133225_6873232_9987111?page=,25,Beauty-Perfume,Men,Body Sprays,
6,7,https://www.walmart.com/browse/beauty/cologne-gift-sets/1085666_133225_6873232_1981411?page=,25,Beauty-Perfume,Men,Cologne Gift Sets,
7,8,https://www.walmart.com/browse/beauty/cologne-mini-sizes/1085666_133225_6873232_6258015?page=,1,Beauty-Perfume,Men,Cologne Mini Sizes,
8,9,https://www.walmart.com/browse/fragrance-brands/calvin-klein-fragrance/1085666_133225_1502765_5241733?page=,25,Beauty-Perfume,Top Premium Brands:,Calvin Klein,
9,10,https://www.walmart.com/browse/fragrance-brands/versace-fragrance/1085666_133225_1502765_4826661?page=,16,Beauty-Perfume,Top Premium Brands:,Versace,
10,11,https://www.walmart.com/browse/fragrance-brands/burberry-fragrance/1085666_133225_1502765_5863975?page=,21,Beauty-Perfume,Top Premium Brands:,Burberry,
11,12,https://www.walmart.com/browse/fragrance-brands/dolce-gabbana-fragrance/1085666_133225_1502765_5168728?page=,18,Beauty-Perfume,Top Premium Brands:,Dolce & Gabbana,
12,13,https://www.walmart.com/browse/fragrance-brands/giorgio-armani-fragrance/1085666_133225_1502765_5656555?page=,13,Beauty-Perfume,Top Premium Brands:,Giorgio Armani,
13,14,https://www.walmart.com/browse/fragrance-brands/gucci-fragrance/1085666_133225_1502765_6802476?page=,18,Beauty-Perfume,Top Premium Brands:,Gucci,
14,15,https://www.walmart.com/browse/beauty/marc-jacobs-perfume/1085666_133225_1502765_4882072?page=,7,Beauty-Perfume,Top Premium Brands:,Marc Jacobs,
15,16,https://www.walmart.com/browse/beauty/juicy-couture-perfume/1085666_133225_1502765_7857995?page=,3,Beauty-Perfume,Top Premium Brands:,Juicy Couture,
16,17,https://www.walmart.com/browse/7924299_9882925_9330032?page=,6,Beauty-Perfume,Top Premium Brands:,Creed,
17,18,https://www.walmart.com/browse/7924299_9882925_7184934?page=,21,Beauty-Perfume,Top Premium Brands:,Paco Rabanne,
18,19,https://www.walmart.com/browse/beauty/ariana-grande-perfume/1085666_133225_4659649_5149721_4668952?page=,3,Beauty-Perfume,Celebrity Brands,Ariana Grande,
19,20,https://www.walmart.com/browse/beauty/sean-john-cologne/1085666_133225_6873232_5705523_2869229?page=,5,Beauty-Perfume,Celebrity Brands,Sean John,
20,21,https://www.walmart.com/browse/beauty/elizabeth-taylor-perfume/1085666_133225_4659649_5149721_1780275?page=,12,Beauty-Perfume,Celebrity Brands,Elizabeth Taylor,
21,22,https://www.walmart.com/browse/beauty/usher-cologne/1085666_133225_6873232_5705523_2838886?page=,3,Beauty-Perfume,Celebrity Brands,Usher,
22,23,https://www.walmart.com/browse/beauty/britney-spears-perfume/1085666_133225_4659649_5149721_8207072?page=,10,Beauty-Perfume,Celebrity Brands,Britney Spears,
23,24,https://www.walmart.com/browse/1085666_133225_4659649_5149721_5446363?page=,1,Beauty-Perfume,Celebrity Brands,Taylor Swift,
24,25,https://www.walmart.com/browse/beauty/david-beckham-cologne/1085666_133225_6873232_5705523_5985701?page=,4,Beauty-Perfume,Celebrity Brands,David Beckham,
25,26,https://www.walmart.com/browse/beauty/sofia-vergara-perfume/1085666_133225_4659649_5149721_1993772?page=,2,Beauty-Perfume,Celebrity Brands,Sofia Vergara,
26,27,https://www.walmart.com/browse/beauty/beyonce-perfume/1085666_133225_4659649_5149721_4481912?page=,0,Beauty-Perfume,Celebrity Brands,Beyonce,
27,28,https://www.walmart.com/browse/fragrance/floral-perfume/1085666_133225_4659649_3017670_2075446?page=,25,Beauty-Perfume,Shop by Scent,Floral,
28,29,https://www.walmart.com/browse/fragrance/fresh-perfume/1085666_133225_4659649_3017670_2850244?page=,25,Beauty-Perfume,Shop by Scent,Fresh,
29,30,https://www.walmart.com/browse/fragrance/warm-musky-perfume/1085666_133225_4659649_3017670_6092879?page=,25,Beauty-Perfume,Shop by Scent,Warm & Spicy,
30,31,https://www.walmart.com/browse/fragrance/earthy-woodsy-perfume/1085666_133225_4659649_3017670_3869251?page=,25,Beauty-Perfume,Shop by Scent,Woody & Earthy,
